"Question", "A", "B", "C", "D", "Correct Answer", "Explanation"
"1. भारतीय वन्य सेवा की स्थापना कब हुई?", "1864 ई", "1857 ई", "1861 ई", "इनमें कोई नहीं", "A", "भारतीय वन्य सेवा की स्थापना 1864 में हुई थी।"
"2. वनों के लुप्त होने की प्रक्रिया को क्या कहते हैं?", "प्रदूषण", "वन-क्रविनाश", "वाक्रनकी", "वनोत्पाद", "B", "वनों के लुप्त होने की प्रक्रिया को वन-क्रविनाश कहा जाता है।"
"3. इम्पीरियल फॉरेस्ट इंस्टीट्यूट कहाँ स्थित है?", "कृषिलिंग", "देहरादून", "कृषमला", "इनमें कोई नहीं", "B", "इम्पीरियल फॉरेस्ट इंस्टीट्यूट देहरादून में स्थित है।"
"4. जम्मू कश्मीर के चरवाहों को क्या कहा जाता है?", "गुज्जर बकरवाल", "गद्दी", "मजदूर", "मोक्रटया", "A", "जम्मू कश्मीर के चरवाहों को गुज्जर बकरवाल कहा जाता है।"
"5. भाबर किसे कहते हैं?", "ऊँचे पहाड़ों पर स्थित घास के मैदान", "तटीय मैदान", "पहाड़ी क्षेत्रों में सूखे जंगल का इलाका", "इनमें कोई नहीं", "A", "भाबर ऊँचे पहाड़ों पर स्थित घास के मैदान को कहा जाता है।"
"6. क्रहटलर का प्रचार मंत्री कौन था?", "हेलमुट", "पुतिन", "ग्योबल्स", "इनमें कोई नहीं", "C", "क्रहटलर का प्रचार मंत्री ग्योबल्स था।"
"7. इटली में किसने क्रांति लाने की योजना बनाई?", "क्रबस्माकज कालज", "मार्क्ज", "ज्यूसेप मार्क्जनी", "इनमें कोई नहीं", "C", "ज्यूसेप मार्क्जनी ने इटली में क्रांति लाने की योजना बनाई।"
"8. धार क्या होते हैं?", "मैदानों में बाग", "ऊँचे पर्वतों में चारागाह", "सागरों में फसल", "इनमें कोई नहीं", "B", "धार ऊँचे पर्वतों में चारागाह होते हैं।"
"9. उत्तर प्रदेश, पंजाब, मध्य प्रदेश और महाराष्ट्र के चरवाहों के समुदाय को क्या कहते हैं?", "बुग्याल", "राइका", "धींगर", "बींजारा", "C", "उत्तर प्रदेश, पंजाब, मध्य प्रदेश और महाराष्ट्र के चरवाहों के समुदाय को धींगर कहा जाता है।"
"10. जींगल एर्ीं जमीन को साफ कर स्थान बदल - बदल कर की जाने वाली खेती को क्या कहा जाता है?", "झूम या घुमींती खेती", "बींजारा खेती", "रन-कृषि", "व्यावसायिक खेती", "A", "जींगल एर्ीं जमीन को साफ कर की जाने वाली खेती को झूम या घुमिंती खेती कहा जाता है।"
"11. भारत का प्रथम पुनः महायानदेशक कौन था?", "लॉर्व र्लहौजी", "लार्व मैकॉले", "र्ायट्ररच बैंडर्स", "इनमें कोई नहीं", "B", "भारत का प्रथम पुनः महायानदेशक लार्व मैकॉले था।"
"12. रायका समुदाय के लोग ज्यादातर किस पशु को पालते थे?", "गाय", "भैंस", "ऊँट", "बकर", "C", "रायका समुदाय के लोग ज्यादातर ऊँट को पालते थे।"
"13. इम्पीरियल फॉरेस्ट रिसर्च इंस्टीट्यूट कब स्थापित की गई?", "1890 ई", "1900 ई", "1906 ई", "इनमें कोई नहीं", "A", "इम्पीरियल फॉरेस्ट रिसर्च इंस्टीट्यूट 1890 में स्थापित की गई।"
"14. औपनिवेशिक सरकार ने अपराधी जनसंख्या अधिनियम कब पारित किया था?", "1861", "1881", "1891", "1871", "A", "औपनिवेशिक सरकार ने अपराधी जनसंख्या अधिनियम 1861 में पारित किया था।"
"15. 1947 ई. के बाद चरवाहों ने कौन-सी नदी पर रोक लगा दी थी?", "कृष्णा", "गंगा", "यमुना", "कावेरी", "C", "1947 ई. के बाद चरवाहों ने यमुना नदी पर रोक लगा दी थी।"
