Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Who was the first Emperor of India?,Ashoka,Chandragupta Maurya,Aurangzeb,Shivaji,B
2,In which year did India gain independence?,1947,1950,1945,1935,A
3,Which was the first war of independence in India?,First Anglo-Sikh War,First War of Independence,Sepoy Mutiny,Second Anglo-Sikh War,B
4,Who was known as the 'Father of the Nation'?,Jawaharlal Nehru,Mahatma Gandhi,Sardar Patel,B. R. Ambedkar,B
5,Which Indian leader is associated with the Non-Cooperation Movement?,Mahatma Gandhi,Subhas Chandra Bose,Jawaharlal Nehru,Sardar Vallabhbhai Patel,A
6,What was the main aim of the Quit India Movement?,End British rule in India,Establish a separate nation,Support World War II,Improve education,A
7,Who was the first woman Prime Minister of India?,Indira Gandhi,Pratibha Patil,Sarojini Naidu,Jayalalithaa,A
8,Which Mughal Emperor built the Taj Mahal?,Akbar,Shah Jahan,Jahangir,Babur,B
9,What was the main purpose of the Dandi March?,To protest against British salt laws,To promote education,To establish a separate nation,To improve farming practices,A
10,Which Indian freedom fighter was known as 'Netaji'?,Bhagat Singh,Rani Lakshmibai,Subhas Chandra Bose,Sardar Vallabhbhai Patel,C
